"country","indicator","year","value","units"
"Malawi","P.7.2 National vaccine access and delivery","2019","4",NA
"Malawi","D.1.1 Laboratory testing for detection of priority diseases","2019","2",NA
"Malawi","D.1.2 Specimen referral and transport system","2019","2",NA
"Malawi","D.1.4 Laboratory quality system","2019","2",NA
"Malawi","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","2",NA
"Malawi","D.3.2 Reporting network and protocols in country","2019","2",NA
"Malawi","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","3",NA
"Malawi","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","2",NA
"Malawi","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","1",NA
"Malawi","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","2",NA
"Malawi","PoE.1 Routine capacities established at points of entry","2019","1",NA
"Malawi","PoE.2 E ective public health response at points of entry","2019","1",NA
"Sao Tome and Principe","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","2019","1",NA
"Sao Tome and Principe","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","2019","1",NA
"Sao Tome and Principe","P.6.2 Biosafety and biosecurity training and practices","2019","1",NA
"Sao Tome and Principe","P.7.2 National vaccine access and delivery","2019","5",NA
"Sao Tome and Principe","D.1.1 Laboratory testing for detection of priority diseases","2019","1",NA
"Sao Tome and Principe","D.1.2 Specimen referral and transport system","2019","1",NA
"Sao Tome and Principe","D.1.4 Laboratory quality system","2019","2",NA
"Sao Tome and Principe","D.3.1 System for e cient reporting to FAO, OIE and WHO","2019","2",NA
"Sao Tome and Principe","D.3.2 Reporting network and protocols in country","2019","2",NA
"Sao Tome and Principe","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","2019","1",NA
"Sao Tome and Principe","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","2019","2",NA
"Sao Tome and Principe","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","2019","2",NA
"Sao Tome and Principe","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","2019","2",NA
"Sao Tome and Principe","PoE.1 Routine capacities established at points of entry","2019","1",NA
"Sao Tome and Principe","PoE.2 E ective public health response at points of entry","2019","1",NA
"Angola","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","NA","NA",NA
"Angola","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","NA","NA",NA
"Angola","P.6.2 Biosafety and biosecurity training and practices","NA","NA",NA
"Angola","P.7.2 National vaccine access and delivery","NA","NA",NA
"Angola","D.1.1 Laboratory testing for detection of priority diseases","NA","NA",NA
"Angola","D.1.2 Specimen referral and transport system","NA","NA",NA
"Angola","D.1.4 Laboratory quality system","NA","NA",NA
"Angola","D.3.1 System for e cient reporting to FAO, OIE and WHO","NA","NA",NA
"Angola","D.3.2 Reporting network and protocols in country","NA","NA",NA
"Angola","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","NA","NA",NA
"Angola","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","NA","NA",NA
"Angola","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","NA","NA",NA
"Angola","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","NA","NA",NA
"Angola","PoE.1 Routine capacities established at points of entry","NA","NA",NA
"Angola","PoE.2 E ective public health response at points of entry","NA","NA",NA
"Algeria","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","NA","NA",NA
"Algeria","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","NA","NA",NA
"Algeria","P.6.2 Biosafety and biosecurity training and practices","NA","NA",NA
"Algeria","P.7.2 National vaccine access and delivery","NA","NA",NA
"Algeria","D.1.1 Laboratory testing for detection of priority diseases","NA","NA",NA
"Algeria","D.1.2 Specimen referral and transport system","NA","NA",NA
"Algeria","D.1.4 Laboratory quality system","NA","NA",NA
"Algeria","D.3.1 System for e cient reporting to FAO, OIE and WHO","NA","NA",NA
"Algeria","D.3.2 Reporting network and protocols in country","NA","NA",NA
"Algeria","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","NA","NA",NA
"Algeria","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","NA","NA",NA
"Algeria","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","NA","NA",NA
"Algeria","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","NA","NA",NA
"Algeria","PoE.1 Routine capacities established at points of entry","NA","NA",NA
"Algeria","PoE.2 E ective public health response at points of entry","NA","NA",NA
"Equatorial Guinea","P.4.3 Mechanisms for responding to infectious and potential zoonotic diseases are established and functional (v1) / P.4.2 Mechanisms for responding to infectious and potential zoonotic diseases established and functional (v2)","NA","NA",NA
"Equatorial Guinea","P.6.1 Whole-of-government biosafety and biosecurity system is in place for human, animal and agriculture facilities","NA","NA",NA
"Equatorial Guinea","P.6.2 Biosafety and biosecurity training and practices","NA","NA",NA
"Equatorial Guinea","P.7.2 National vaccine access and delivery","NA","NA",NA
"Equatorial Guinea","D.1.1 Laboratory testing for detection of priority diseases","NA","NA",NA
"Equatorial Guinea","D.1.2 Specimen referral and transport system","NA","NA",NA
"Equatorial Guinea","D.1.4 Laboratory quality system","NA","NA",NA
"Equatorial Guinea","D.3.1 System for e cient reporting to FAO, OIE and WHO","NA","NA",NA
"Equatorial Guinea","D.3.2 Reporting network and protocols in country","NA","NA",NA
"Equatorial Guinea","D.4.2 FETP1 or other applied epidemiology training programme in place (v1)/ D.4.4 FETP or other applied epidemiology training programme is in place (v2)","NA","NA",NA
"Equatorial Guinea","D.4.3 Workforce strategy (v1)/ D.4.1 An up-to-date multisectoral workforce strategy is in place (v2)","NA","NA",NA
"Equatorial Guinea","R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) are linked during a suspect or con rmed biological event (v1)/ R.3.1 Public health and security authorities (e.g. law enforcement, border control, customs) linked during a suspect or confirmed biological, chemical or radiological event","NA","NA",NA
"Equatorial Guinea","R.5.2 Internal and partner communication and coordination (v1)/ R.5.2 Internal and partner coordination for emergency risk communication (v2)","NA","NA",NA
"Equatorial Guinea","PoE.1 Routine capacities established at points of entry","NA","NA",NA
"Equatorial Guinea","PoE.2 E ective public health response at points of entry","NA","NA",NA
"Mauritania","4.1 Multi-sector and One Health collaboration/coordination","unknown","B - Multi-sectoral working group(s) or coordination committee on AMR established with Government leadership.","none"
"Mauritania","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Food Production]","unknown","No","none"
"Mauritania","4.2 Which sectors are actively involved in developing and implementing the AMR National Action Plan- [Environment]","unknown","Yes","none"
"Mauritania","5.1 Country progress with development of a national action plan on AMR","unknown","C - National AMR action plan developed.","none"
"Mauritania","5.2 Is your countrys national action plan on AMR linked to any other existing action plans, strategies or targets related to - [Malaria]","unknown","Yes","none"
"Mauritania","5.3 If you have published your AMR national action plan, please insert a link here.","unknown",NA,"none"
"Mauritania","5.4 Country legislations on antimicrobial use [Country has laws or regulations that prohibits the use of antibiotics for growth promotion in the absence of risk analysis.]","unknown","No","none"
"Mauritania","5.4 Country legislations on antimicrobial use [Country has legislation on marketing of pesticides including antimicrobial pesticides, such as bactericides and fungicides used in plant production.]","unknown","Yes","none"
